file,subject,N,frames,down,up,eq,empty,total_drop,total_fill
Jalan35.csv,F,64,77,30,46,1,0,837,1413
Jalan36.csv,F,64,72,19,52,1,0,547,1703
Jalan37.csv,F,64,86,38,47,1,0,813,1383
Jalan38.csv,F,64,83,12,70,1,0,184,2614
Jalan39.csv,F,64,181,34,145,2,0,537,5160
Jalan4.csv,F,64,46,0,46,0,0,0,2465
Jalan40.csv,F,64,186,29,156,1,0,608,5699
Jalan41.csv,F,64,160,49,109,2,0,1010,3161
Jalan42.csv,F,64,133,58,74,1,0,1724,1490
Jalan43.csv,F,64,177,18,159,0,0,195,5909
Jalan44.csv,F,64,182,34,147,1,0,713,4878
Jalan45.csv,F,64,154,48,105,1,0,1241,3268
Jalan46.csv,F,64,119,56,61,2,0,1411,1873
Jalan47.csv,F,64,330,78,249,3,0,1523,8796
Jalan48.csv,F,64,302,91,208,3,0,2424,7068
Jalan49.csv,F,64,98,23,74,1,0,370,1792
Jalan5.csv,F,64,60,0,60,0,0,0,2742
Jalan50.csv,F,64,99,54,42,3,0,1944,1064
Jalan51.csv,F,64,102,37,65,0,0,792,2062
Jalan52.csv,F,64,48,0,48,0,0,0,2661
Jalan53.csv,F,64,72,0,72,0,0,0,3290
Jalan54.csv,F,64,94,6,88,0,0,34,2992
Jalan55.csv,F,64,89,24,64,1,0,273,2327
Jalan56.csv,F,64,81,23,54,4,0,350,2063
Jalan57.csv,F,64,96,43,52,1,0,1527,1864
Jalan58.csv,F,64,98,14,82,2,0,241,3060
Jalan59.csv,F,64,81,13,68,0,0,172,1935
Jalan6.csv,F,64,73,8,64,1,0,64,2073
Jalan60.csv,F,64,106,9,96,1,0,176,3568
Jalan61.csv,F,64,107,41,65,1,0,772,1685
Jalan62.csv,F,64,102,20,81,1,0,467,2727
Jalan63.csv,F,64,253,32,221,0,0,459,8072
Jalan64.csv,F,64,268,51,216,1,0,742,7493
Jalan65.csv,F,64,229,66,162,1,0,1372,5291
Jalan66.csv,F,64,180,87,90,3,0,2133,2025
Jalan67.csv,F,64,208,20,186,2,0,322,7030
Jalan68.csv,F,64,254,45,206,3,0,672,7535
Jalan69.csv,F,64,203,60,141,2,0,1229,4307
Jalan7.csv,F,64,75,17,57,1,0,220,1952
Jalan70.csv,F,64,164,69,91,4,0,1694,2543
Jalan71.csv,F,64,428,102,324,2,0,2009,10500
Jalan72.csv,F,64,400,162,236,2,0,4739,7365
Jalan8.csv,F,64,78,23,54,1,0,466,2192
Jalan9.csv,F,64,103,46,56,1,0,1706,2063
Jalan1.csv,G,64,93,15,77,1,0,239,1677
Jalan10.csv,G,64,98,19,79,0,0,359,2801
Jalan11.csv,G,64,74,19,55,0,0,178,1115
Jalan12.csv,G,64,97,22,74,1,0,712,2389
Jalan13.csv,G,64,109,46,63,0,0,1105,1954
Jalan14.csv,G,64,106,18,85,3,0,190,2855
Jalan15.csv,G,64,235,27,204,4,0,417,7748
